cf_id,contact_id,company_name,goal,pledged,outcome,backers_count,country,currency,launched_at,staff_pick,spotlight,category_id,subcategory_id
147,4661,"Baldwin, Riley and Jackson",100,0,failed,0,CA,CAD,1581573600,False,False,1cat,1subcat
1175,2288,Werner-Bryant,1800,7991,successful,222,US,USD,1592629200,False,False,1cat,1subcat
873,2067,Stewart LLC,1300,12047,successful,113,US,USD,1606629600,False,False,1cat,1subcat
2568,5989,Castillo-Carey,142400,21307,failed,296,US,USD,1588654800,False,False,1cat,1subcat
1211,3307,"Wright, Hartman and Yu",3300,12437,successful,131,US,USD,1611900000,False,False,1cat,1subcat
990,3489,Morgan-Martinez,148500,4756,canceled,55,AU,AUD,1616475600,False,False,1cat,1subcat
2228,4404,Alexander-Williams,7200,6927,failed,210,US,USD,1618635600,False,False,1cat,1subcat
509,1867,Mcknight-Freeman,8300,6543,canceled,82,US,USD,1597294800,False,False,1cat,1subcat
966,4840,Huff LLC,121500,119830,failed,2179,US,USD,1618030800,True,False,1cat,1subcat
2765,5565,Ho-Harris,7300,717,failed,10,US,USD,1606802400,False,False,1cat,1subcat
524,5472,Ramsey and Sons,3800,1954,failed,49,US,USD,1637647200,False,False,1cat,1subcat
2991,4136,Martin-Marshall,9600,6401,failed,108,IT,EUR,1608357600,False,True,1cat,1subcat
2049,1340,Rose-Silva,3300,14643,successful,190,US,USD,1611986400,False,False,1cat,1subcat
553,4593,Hensley Ltd,199000,142823,failed,3483,US,USD,1627362000,False,False,1cat,1subcat
1559,4272,Baker Ltd,6300,14199,successful,189,US,USD,1618722000,False,True,1cat,1subcat
2201,3033,Davis and Sons,188200,159405,failed,5497,US,USD,1619845200,False,True,1cat,1subcat
1003,5799,Jones-Riddle,147800,15723,failed,162,US,USD,1603083600,False,True,1cat,1subcat
343,6074,Perry and Sons,3100,9889,successful,194,GB,GBP,1614837600,False,True,1cat,1subcat
3153,2653,Long-Greene,2400,12310,successful,173,GB,GBP,1595826000,False,False,1cat,1subcat
37,3035,Landry Inc,29600,77021,successful,1572,GB,GBP,1624078800,False,True,1cat,1subcat
1067,1640,Henson PLC,56800,173437,successful,2443,US,USD,1627102800,False,True,1cat,1subcat
3019,3274,Ramirez LLC,5900,6608,successful,78,US,USD,1617598800,False,False,1cat,1subcat
2654,5200,"Thomas, Welch and Santana",9800,7120,failed,77,US,USD,1610517600,False,True,1cat,1subcat
76,3259,"Parker, Haley and Foster",2700,9967,successful,144,US,USD,1593061200,False,True,1cat,1subcat
2313,6020,Williams-Santos,9400,6852,failed,156,CA,CAD,1610690400,False,True,1cat,1subcat
349,4722,Brown-George,100,5,failed,1,GB,GBP,1618894800,False,False,1cat,1subcat
766,5019,"Gordon, Mendez and Johnson",137600,180667,successful,2230,US,USD,1598677200,False,False,1cat,1subcat
427,1553,"Martin, Lee and Armstrong",1600,11108,successful,154,GB,GBP,1605679200,True,False,1cat,1subcat
2931,2213,Vargas-Cox,98600,62174,canceled,723,US,USD,1620277200,True,False,1cat,1subcat
2467,5103,"Hobbs, Brown and Lee",118400,49879,failed,504,AU,AUD,1612677600,False,False,1cat,1subcat
1814,4796,Davis Ltd,1400,14511,successful,363,US,USD,1602392400,False,True,1cat,1subcat
2499,4407,"Stafford, Hess and Raymond",2100,540,failed,6,US,USD,1632373200,False,False,1cat,1subcat
3098,3599,"Harris, Medina and Mitchell",5200,1583,failed,19,US,USD,1609567200,False,False,1cat,1subcat
2978,5815,"Miller, Glenn and Adams",4700,11174,successful,110,US,USD,1616389200,False,False,1cat,1subcat
1387,2794,Williams and Sons,2400,8558,successful,158,US,USD,1624942800,False,False,1cat,1subcat
1439,2545,"Ayala, Crawford and Taylor",4000,2778,failed,35,US,USD,1613455200,True,False,1cat,1subcat
2948,5140,"Kane, Pruitt and Rivera",4800,7797,successful,300,US,USD,1637647200,False,False,1cat,1subcat
2734,5678,Estrada Group,163600,126628,failed,1229,US,USD,1604815200,False,False,1cat,1subcat
2599,4140,Wright-Bryant,19800,153338,successful,1460,AU,AUD,1592629200,False,True,1cat,1subcat
1447,1321,Brown-Oliver,8700,1577,failed,15,US,USD,1637647200,False,False,1cat,1subcat
1437,4861,"Peterson, Gonzalez and Spencer",7500,11969,successful,114,US,USD,1600232400,False,False,1cat,1subcat
3209,4532,"Harris, Russell and Mitchell",3600,10657,successful,266,US,USD,1611208800,False,False,1cat,1subcat
1755,1377,Gonzalez-White,2400,8117,successful,114,US,USD,1608530400,False,False,1cat,1subcat
1432,2712,Johnson Group,7000,5177,failed,67,US,USD,1619067600,False,False,1cat,1subcat
2986,3684,Manning-Hamilton,97300,153216,successful,2043,US,USD,1609221600,False,True,1cat,1subcat
1788,4939,"Hernandez, Norton and Kelley",111100,62819,canceled,1122,US,USD,1609308000,False,False,1cat,1subcat
1621,3765,Odom Inc,1400,14560,successful,158,US,USD,1611554400,False,True,2cat,2subcat
2156,4941,"Mcdonald, Gonzalez and Ross",4200,2477,failed,24,US,USD,1634792400,False,False,2cat,2subcat
2502,6202,"Best, Carr and Williams",2000,1599,failed,15,US,USD,1610085600,False,False,2cat,2subcat
3122,5911,Watts Group,5600,11924,successful,111,IT,EUR,1615957200,False,True,2cat,2subcat
1482,3604,"Vaughn, Hunt and Caldwell",3700,4247,successful,92,US,USD,1621746000,False,False,2cat,2subcat
2389,2851,Casey-Kelly,7200,13653,successful,303,US,USD,1611554400,False,False,2cat,2subcat
1610,2109,"Gomez, Bailey and Flores",16800,37857,successful,411,US,USD,1604206800,False,False,2cat,2subcat
2311,1673,Farrell and Sons,198500,123040,failed,1482,AU,AUD,1598158800,False,True,2cat,2subcat
2404,5501,Allen-Curtis,70600,42596,canceled,532,US,USD,1599973200,False,False,2cat,2subcat
2588,3229,"Brown, Palmer and Pace",100,1,failed,1,US,USD,1611208800,False,False,2cat,2subcat
174,4420,Meza-Rogers,36400,26914,canceled,379,AU,AUD,1606197600,False,False,2cat,2subcat
2824,1638,Carlson Inc,2100,4640,successful,41,US,USD,1609135200,False,False,2cat,2subcat
2427,5256,"Keith, Alvarez and Potter",6100,9134,successful,157,CH,CHF,1630818000,False,False,2cat,2subcat
